id,admin_name,left,top,width,height,center_x,center_y,drop_x,drop_y,drop_x,drop_y
GIN,Guinea,1868,1042,102,80,1919.0,1082.0,1937.9086866316454,1081.6595844835542,1937.9086866316454,1081.6595844835542
GNB,Guinea-Bissau,1850,1042,52,37,1876.0,1060.5,1884.6818437187626,1060.3885844195547,1884.6818437187626,1060.3885844195547
GUY,Guyana,1341,1089,73,101,1377.5,1139.5,1377.208819079084,1139.3422789347546,1377.208819079084,1139.3422789347546
HTI,Haiti,1192,958,50,41,1217.0,978.5,1225.5752716698767,978.693158559288,1225.5752716698767,978.693158559288
HND,Honduras,1023,988,88,68,1067.0,1022.0,1055.511274307088,1029.6358865749328,1055.511274307088,1029.6358865749328
HUN,Hungary,2223,634,94,49,2270.0,658.5,2265.5339211593378,658.1135555527103,2265.5339211593378,658.1135555527103
ISL,Iceland,1761,429,142,53,1832.0,455.5,1837.8792018756765,455.51265849457735,1837.8792018756765,455.51265849457735
IND,India,2815,783,350,344,2990.0,955.0,2960.799364119431,946.7818714567104,2960.799364119431,946.7818714567104
IDN,Indonesia,3121,1119,540,209,3391.0,1223.5,3337.389280805959,1193.4730751658662,3337.389280805959,1193.4730751658662
IRN,Iran,2541,734,236,185,2659.0,826.5,2663.259928236189,825.7801608760882,2663.259928236189,825.7801608760882
IRQ,Iraq,2481,761,128,112,2545.0,817.0,2531.4657513465886,816.6804050887104,2531.4657513465886,816.6804050887104
IRL,Ireland,1921,556,68,62,1955.0,587.0,1957.452891336545,586.9105751608884,1957.452891336545,586.9105751608884
ISR,Israel,2430,807,35,61,2447.5,837.5,2442.384717531936,836.8791960632884,2442.384717531936,836.8791960632884
ITA,Italy,2115,651,153,149,2191.5,725.5,2192.4071491064988,711.1965947619549,2192.4071491064988,711.1965947619549
JAM,Jamaica,1148,976,42,26,1169.0,989.0,1169.9106017406393,988.5110381283548,1169.9106017406393,988.5110381283548
JPN,Japan,3439,669,370,259,3624.0,798.5,3678.86398189845,700.1642788693327,3678.86398189845,700.1642788693327
JOR,Jordan,2438,807,66,65,2471.0,839.5,2461.00997540216,838.8852673535994,2461.00997540216,838.8852673535994
KAZ,Kazakhstan,2569,556,482,186,2810.0,649.0,2802.6413423495032,648.4096678229326,2802.6413423495032,648.4096678229326
KEN,Kenya,2426,1129,108,128,2480.0,1193.0,2474.0741266073146,1192.9051168995543,2474.0741266073146,1192.9051168995543
KIR,Kiribati,54,1133,4015,201,2061.5,1233.5,274.26563080768165,1258.6205288618662,274.26563080768165,1258.6205288618662
PRK,North Korea,3453,697,91,78,3498.5,736.0,3490.06964984446,735.6559512120882,3490.06964984446,735.6559512120882
KOR,South Korea,3458,747,99,79,3507.5,786.5,3504.481288002219,779.8277547804438,3504.481288002219,779.8277547804438
KWT,Kuwait,2569,844,39,35,2588.5,861.5,2587.5085327851502,861.1350215509326,2587.5085327851502,861.1350215509326
KGZ,Kyrgyzstan,2828,694,142,64,2899.0,726.0,2902.1269033086305,725.6215520824883,2902.1269033086305,725.6215520824883
LAO,Laos,3179,931,103,114,3230.5,988.0,3239.065855128655,987.5284780088884,3239.065855128655,987.5284780088884
LVA,Latvia,2279,526,99,44,2328.5,548.0,2325.4276311056133,547.6348738389325,2325.4276311056133,547.6348738389325
LBN,Lebanon,2439,792,34,36,2456.0,810.0,2456.5411258209956,809.310436340621,2456.5411258209956,809.310436340621
LSO,Lesotho,2347,1512,45,40,2369.5,1532.0,2368.447859815235,1531.6229363427547,2368.447859815235,1531.6229363427547
LBR,Liberia,1909,1089,64,65,1941.0,1121.5,1937.803996320885,1121.2153807815102,1937.803996320885,1121.2153807815102
LBY,Libya,2146,809,197,173,2244.5,895.5,2244.0574796259566,894.9466539349329,2244.0574796259566,894.9466539349329
LIE,Liechtenstein,2148,649,18,19,2157.0,658.5,2156.488281361913,658.1207580956439,2156.488281361913,658.1207580956439
LTU,Lithuania,2278,544,84,47,2320.0,567.5,2322.73775353513,566.9235868046217,2322.73775353513,566.9235868046217
LUX,Luxembourg,2105,616,26,25,2118.0,628.5,2117.0074737411137,627.9732511516434,2117.0074737411137,627.9732511516434
MDG,Madagascar,2532,1323,100,172,2582.0,1409.0,2579.6672484514356,1408.2163622001772,2579.6672484514356,1408.2163622001772
MWI,Malawi,2412,1293,54,106,2439.0,1346.0,2431.843734164024,1345.7108113407994,2431.843734164024,1345.7108113407994
MYS,Malaysia,3174,1103,240,91,3294.0,1148.5,3209.802312083247,1149.2756214613328,3209.802312083247,1149.2756214613328
MDV,Maldives,2867,1106,29,106,2881.5,1159.0,2884.6519582441265,1146.8859762455668,2884.6519582441265,1146.8859762455668
MLI,Mali,1900,902,205,186,2002.5,995.0,2039.4204731464245,994.3532580977767,2039.4204731464245,994.3532580977767
MLT,Malta,2201,776,22,20,2212.0,786.0,2212.273963343645,786.2612696063992,2212.273963343645,786.2612696063992
MHL,Marshall Islands,3921,1020,93,132,3967.5,1086.0,3946.5740816404887,1067.722380720355,3946.5740816404887,1067.722380720355
MRT,Mauritania,1846,876,156,160,1924.0,956.0,1917.3529793288167,955.6031677553773,1917.3529793288167,955.6031677553773
MUS,Mauritius,2683,1304,96,133,2731.0,1370.5,2703.1666125232846,1425.1080288654211,2703.1666125232846,1425.1080288654211
MEX,Mexico,693,814,378,224,882.0,926.0,884.5294988100795,925.8181242424881,884.5294988100795,925.8181242424881
FSM,Federated States of Micronesia,3611,1075,301,118,3761.5,1134.0,3848.504469491869,1116.3302510876438,3848.504469491869,1116.3302510876438
MDA,Moldova,2343,635,57,51,2371.5,660.5,2375.941807476915,660.2181689742215,2375.941807476915,660.2181689742215
MCO,Monaco,2124,689,18,17,2133.0,697.5,2132.2288843509386,696.9843877612959,2132.2288843509386,696.9843877612959
MNG,Mongolia,3038,594,383,137,3229.5,662.5,3247.31364312482,661.5188900408882,3247.31364312482,661.5188900408882
MNE,Montenegro,2250,691,39,36,2269.5,709.0,2267.4710628637345,708.8195120412439,2267.4710628637345,708.8195120412439
MAR,Morocco,1846,778,199,182,1945.5,869.0,1935.288358891039,868.354788124444,1935.288358891039,868.354788124444
MOZ,Mozambique,2384,1306,138,203,2453.0,1407.5,2442.479635373172,1406.719612268088,2442.479635373172,1406.719612268088
